unknown,unknown
ba45,ba45
ba4a,ba4a
ba4p,ba4p
ba6,ba6
ba2,ba2
ba1_old,ba1_old
baun2,baun2
ba1,ba1
ba2b,ba2b
ba3a,ba3a
ba3b,ba3b
mt,mt
aips_aip_l,aips_aip_l
aips_aip_r,aips_aip_r
aips_vip_l,aips_vip_l
aips_vip_r,aips_vip_r
ipl_pfcm_l,ipl_pfcm_l
ipl_pfcm_r,ipl_pfcm_r
ipl_pf_l,ipl_pf_l
ipl_pfm_l,ipl_pfm_l
ipl_pfm_r,ipl_pfm_r
ipl_pfop_l,ipl_pfop_l
ipl_pfop_r,ipl_pfop_r
ipl_pf_r,ipl_pf_r
ipl_pft_l,ipl_pft_l
ipl_pft_r,ipl_pft_r
ipl_pga_l,ipl_pga_l
ipl_pga_r,ipl_pga_r
ipl_pgp_l,ipl_pgp_l
ipl_pgp_r,ipl_pgp_r
visual_v3d_l,visual_v3d_l
visual_v3d_r,visual_v3d_r
visual_v4_l,visual_v4_l
visual_v4_r,visual_v4_r
visual_v5_b,visual_v5_b
visual_vp_l,visual_vp_l
visual_vp_r,visual_vp_r
wmsa,wmsa
other_wmsa,other_wmsa
right_ca2_3,right_ca2_3
right_alveus,right_alveus
right_ca1,right_ca1
right_fimbria,right_fimbria
right_presubiculum,right_presubiculum
right_hippocampal_fissure,right_hippocampal_fissure
right_ca4_dg,right_ca4_dg
right_subiculum,right_subiculum
right_fornix,right_fornix
left_ca2_3,left_ca2_3
left_alveus,left_alveus
left_ca1,left_ca1
left_fimbria,left_fimbria
left_presubiculum,left_presubiculum
left_hippocampal_fissure,left_hippocampal_fissure
left_ca4_dg,left_ca4_dg
left_subiculum,left_subiculum
left_fornix,left_fornix
tumor,tumor
cbm_left_i_iv,cbm_left_i_iv
cbm_right_i_iv,cbm_right_i_iv
cbm_left_v,cbm_left_v
cbm_right_v,cbm_right_v
cbm_left_vi,cbm_left_vi
cbm_vermis_vi,cbm_vermis_vi
cbm_right_vi,cbm_right_vi
cbm_left_crusi,cbm_left_crusi
cbm_vermis_crusi,cbm_vermis_crusi
cbm_right_crusi,cbm_right_crusi
cbm_left_crusii,cbm_left_crusii
cbm_vermis_crusii,cbm_vermis_crusii
cbm_right_crusii,cbm_right_crusii
cbm_left_viib,cbm_left_viib
cbm_vermis_viib,cbm_vermis_viib
cbm_right_viib,cbm_right_viib
cbm_left_viiia,cbm_left_viiia
cbm_vermis_viiia,cbm_vermis_viiia
cbm_right_viiia,cbm_right_viiia
cbm_left_viiib,cbm_left_viiib
cbm_vermis_viiib,cbm_vermis_viiib
cbm_right_viiib,cbm_right_viiib
cbm_left_ix,cbm_left_ix
cbm_vermis_ix,cbm_vermis_ix
cbm_right_ix,cbm_right_ix
cbm_left_x,cbm_left_x
cbm_vermis_x,cbm_vermis_x
cbm_right_x,cbm_right_x
cbm_right_i_v_med,cbm_right_i_v_med
cbm_right_i_v_mid,cbm_right_i_v_mid
cbm_right_vi_med,cbm_right_vi_med
cbm_right_vi_mid,cbm_right_vi_mid
cbm_right_vi_lat,cbm_right_vi_lat
cbm_right_crusi_med,cbm_right_crusi_med
cbm_right_crusi_mid,cbm_right_crusi_mid
cbm_right_crusi_lat,cbm_right_crusi_lat
cbm_right_crusii_med,cbm_right_crusii_med
cbm_right_crusii_mid,cbm_right_crusii_mid
cbm_right_crusii_lat,cbm_right_crusii_lat
cbm_right_7med,cbm_right_7med
cbm_right_7mid,cbm_right_7mid
cbm_right_7lat,cbm_right_7lat
cbm_right_8med,cbm_right_8med
cbm_right_8mid,cbm_right_8mid
cbm_right_8lat,cbm_right_8lat
cbm_right_puns,cbm_right_puns
cbm_right_tons,cbm_right_tons
cbm_right_flos,cbm_right_flos
cbm_left_i_v_med,cbm_left_i_v_med
cbm_left_i_v_mid,cbm_left_i_v_mid
cbm_left_vi_med,cbm_left_vi_med
cbm_left_vi_mid,cbm_left_vi_mid
cbm_left_vi_lat,cbm_left_vi_lat
cbm_left_crusi_med,cbm_left_crusi_med
cbm_left_crusi_mid,cbm_left_crusi_mid
cbm_left_crusi_lat,cbm_left_crusi_lat
cbm_left_crusii_med,cbm_left_crusii_med
cbm_left_crusii_mid,cbm_left_crusii_mid
cbm_left_crusii_lat,cbm_left_crusii_lat
cbm_left_7med,cbm_left_7med
cbm_left_7mid,cbm_left_7mid
cbm_left_7lat,cbm_left_7lat
cbm_left_8med,cbm_left_8med
cbm_left_8mid,cbm_left_8mid
cbm_left_8lat,cbm_left_8lat
cbm_left_puns,cbm_left_puns
cbm_left_tons,cbm_left_tons
cbm_left_flos,cbm_left_flos
cbmwm_gyri_left,cbmwm_gyri_left
cbmwm_gyri_right,cbmwm_gyri_right
csf-fsl-fast,csf-fsl-fast
csf.fsl.fast,csf-fsl-fast
csffslfast,csf-fsl-fast
graymatter-fsl-fast,graymatter-fsl-fast
graymatter.fsl.fast,graymatter-fsl-fast
graymatterfslfast,graymatter-fsl-fast
whitematter-fsl-fast,whitematter-fsl-fast
whitematter.fsl.fast,whitematter-fsl-fast
whitematterfslfast,whitematter-fsl-fast
suspicious,suspicious
ctx-lh-unknown,ctx-lh-unknown
ctx.lh.unknown,ctx-lh-unknown
ctxlhunknown,ctx-lh-unknown
ctx-lh-bankssts,ctx-lh-bankssts
ctx.lh.bankssts,ctx-lh-bankssts
ctxlhbankssts,ctx-lh-bankssts
ctx-lh-caudalanteriorcingulate,ctx-lh-caudalanteriorcingulate
ctx.lh.caudalanteriorcingulate,ctx-lh-caudalanteriorcingulate
ctxlhcaudalanteriorcingulate,ctx-lh-caudalanteriorcingulate
ctx-lh-caudalmiddlefrontal,ctx-lh-caudalmiddlefrontal
ctx.lh.caudalmiddlefrontal,ctx-lh-caudalmiddlefrontal
ctxlhcaudalmiddlefrontal,ctx-lh-caudalmiddlefrontal
ctx-lh-corpuscallosum,ctx-lh-corpuscallosum
ctx.lh.corpuscallosum,ctx-lh-corpuscallosum
ctxlhcorpuscallosum,ctx-lh-corpuscallosum
ctx-lh-cuneus,ctx-lh-cuneus
ctx.lh.cuneus,ctx-lh-cuneus
ctxlhcuneus,ctx-lh-cuneus
ctx-lh-entorhinal,ctx-lh-entorhinal
ctx.lh.entorhinal,ctx-lh-entorhinal
ctxlhentorhinal,ctx-lh-entorhinal
ctx-lh-fusiform,ctx-lh-fusiform
ctx.lh.fusiform,ctx-lh-fusiform
ctxlhfusiform,ctx-lh-fusiform
ctx-lh-inferiorparietal,ctx-lh-inferiorparietal
ctx.lh.inferiorparietal,ctx-lh-inferiorparietal
ctxlhinferiorparietal,ctx-lh-inferiorparietal
